,pct_0a5,pct_6a14,pct_15a64,pct_65plus,pct_ethnic_afro,pct_ethnic_ind,pct_ethnic_other,pct_without_disc,pct_with_disc,pct_no_school,pct_elementary_edu,pct_elementary2_edu,pct_more_edu,pct_ocup,pct_desocup,pct_inac,pct_serv_med,pct_no_serv_med,pct_pop_auto,pct_pop_sin_auto,rel_dependencia_0_14,rel_h_m
pct_0a5,1.0,0.37840224477609985,0.2034439905984779,-0.1312857951569965,0.025101018866706896,0.17273811248103488,0.019705741737043984,0.27633952785296434,0.12058988404515744,0.23283889119781356,0.3408715984065738,0.38732462251867955,-0.08929042862580859,0.23111610519015285,0.11639088358435211,0.12203933347236581,0.1252184960860144,0.23131797377717894,-0.12257714557497651,0.34124583105146394,0.3716000387934282,0.1699374715835425
pct_6a14,0.37840224477609985,1.0,0.2272457975260281,-0.12757211434300467,0.030787244766722257,0.16042153107974455,0.058993925755660884,0.2862467532171175,0.16263120357461602,0.2265941646039172,0.4240489153948862,0.5095456265065678,-0.03965555955640054,0.3179947349514169,0.09045711724650808,0.28975246069302435,0.24160854795605857,0.3224393905359296,-0.1673681276430496,0.44527639171796496,0.5443566085053598,0.2766815904607618
pct_15a64,0.2034439905984779,0.2272457975260281,1.0,0.46441122905976057,0.05869520493404536,0.033569398876176514,0.13413919390358964,0.4106948434715488,0.2604750424332215,0.1113886002636644,0.21902828469846117,0.22031886603201942,0.4820013629801585,0.5391702346590376,0.14960458506819627,0.4737220678720576,0.5559193098075528,0.29421996599875566,-0.03038399360725767,0.3129177692906655,0.47940827848369194,0.4433081893927614
pct_65plus,-0.1312857951569965,-0.12757211434300467,0.46441122905976057,1.0,0.019789892759539456,-0.08554333553612374,0.07846540552924319,0.1981382780507731,0.25472341192329545,-0.0415173742967919,0.0027934867507625545,-0.1486931632160504,0.479450474434329,0.18957644451647598,0.06768570121179071,0.4663703392066716,0.4037621296986927,0.04798275295102639,0.08580150110934695,-0.017736840564286392,0.2506911415446873,0.1825919781084116
pct_ethnic_afro,0.025101018866706896,0.030787244766722257,0.05869520493404536,0.019789892759539456,1.0,0.020865075018654006,0.01299691075647715,0.05213469401421487,0.04116407218460526,0.012160287276828252,0.013388127145409533,0.027743728099084083,0.05944737281180336,0.08804026699592175,0.01798130520202112,0.03174903764505139,0.0716417074943511,0.03770003275425903,-0.011818202121863042,0.04650157685211678,0.025326300354002653,0.058136257679401976
pct_ethnic_ind,0.17273811248103488,0.16042153107974455,0.033569398876176514,-0.08554333553612374,0.020865075018654006,1.0,0.10574195381012255,0.08258827662960219,0.0531252730016904,0.22703355565607597,0.19463081952981842,0.167479168105309,-0.11463069843356286,0.11483293943894668,0.02351476020597569,0.002179137060791088,-0.011396136052985072,0.1730041183090826,-0.10341546896195676,0.17484640444102734,0.10258223036737817,0.09124147037616538
pct_ethnic_other,0.019705741737043984,0.058993925755660884,0.13413919390358964,0.07846540552924319,0.01299691075647715,0.10574195381012255,1.0,0.08958181865813436,0.036615884198369385,0.020852798885850184,0.06588336510370833,0.11528873140572121,0.19037399483528178,0.25157108243986953,0.007583764831126634,0.21234678895957984,0.2480137724104747,0.1418788897535388,-0.10966098978807357,0.1314487394629452,0.08440642928805327,0.2195253034126342
pct_without_disc,0.27633952785296434,0.2862467532171175,0.4106948434715488,0.1981382780507731,0.05213469401421487,0.08258827662960219,0.08958181865813436,1.0,0.49153161485714025,0.14538767797877006,0.25078819591101054,0.24992574350057922,0.26382366287734293,0.3955518314373047,0.15018668123118736,0.34449118522038985,0.37782692708354726,0.25921882879534003,-0.06945706401332664,0.30097983361026714,0.2861451876420037,0.33036226201165947
pct_with_disc,0.12058988404515744,0.16263120357461602,0.2604750424332215,0.25472341192329545,0.04116407218460526,0.0531252730016904,0.036615884198369385,0.49153161485714025,1.0,0.1518894908763883,0.2386892018491711,0.2045452534892523,0.0741815335529723,0.17647014834040933,0.10140904814035939,0.28091611004511224,0.20279776154237628,0.19086742510531635,-0.0765146624046757,0.27936977450690337,0.2104978336845161,0.17435332849356208
pct_no_school,0.23283889119781356,0.2265941646039172,0.1113886002636644,-0.0415173742967919,0.012160287276828252,0.22703355565607597,0.020852798885850184,0.14538767797877006,0.1518894908763883,1.0,0.272348121293302,0.2824394817760965,-0.21458073159402402,0.09043259886685875,0.043598677907580104,0.08947793906755248,0.005712466717786436,0.19781066639275013,-0.126706285679937,0.24937523703241013,0.1827507392129742,0.1467240310137181
